bldg,Annual,January,February,March,April,May,June,July,August,September,October,November,December
1045,79.87065016637644,66.55643287999152,75.69497400752958,57.8739102886105,51.24347110993622,40.28554497438852,0.0,0.0,0.0,11.98396784190107,47.28378830658279,63.64008297427247,79.87065016637644
1058x1060,2721.7976274140997,2654.347327866191,2721.7976274140997,2597.9516678965883,2528.115770093976,2223.2339685745787,1459.2212164675445,999.5598072999308,1087.1968399908328,1592.9378085671701,2396.371546084542,2491.452583157442,2563.1084521101407
1065,254.78247974439518,252.76146186178653,254.78247974439518,250.5027633668236,247.81002666360314,243.79553957602002,220.42576188212567,207.66539024460297,215.5059490490138,223.50904505146622,243.15342093031296,245.65800602671285,249.48082465501145
1345,136.99166095666592,136.99166095666592,132.15423039252178,109.8075636945942,79.64703696387782,50.89325121873592,21.81318948625233,0.0,0.0,25.29727660806613,72.55061483373201,108.42807831561524,127.27782138023564
1349,151.12911479065056,149.9849654557167,151.12911479065056,147.74033437060945,145.90922652105334,92.8985370479892,0.0183707477590323,0.0,0.0439134713619773,32.629357160399536,136.5051630324881,147.88716296097877,149.53480834033286
1359,316.235373557138,314.9898216428273,316.235373557138,313.3105245912978,311.0216397793527,299.52446293266814,106.64005190874238,18.395688104422383,28.0220166687084,179.03563216302254,311.6019204359022,313.2958710393647,314.1340542099361
1380,544.2466931329353,476.7072999892736,544.2466931329353,390.5725494425496,296.9492477159509,175.38396702130217,100.38720545627936,57.6001819385008,54.88018962868486,126.07974697418805,272.66332995520116,379.11405797296834,445.3334591584993
1500,2279.049347887632,2095.346559433928,2279.049347887632,1399.138722831582,953.4890400223672,579.527463980104,45.934782315624616,35.13833832237932,163.64148971525805,476.8089956396891,971.2462142548582,1716.534657701819,2059.503971405645
1560,316.7716935578883,304.78215736625265,316.7716935578883,293.4432388804452,155.92756690665277,10.85420829496545,0.0,0.0,0.0,2.8448991864934112,231.86666908938727,298.9764200903714,301.3444340827551
1569,81.29731998257986,67.85708214957057,81.29731998257986,56.53779942335343,39.460256929518174,19.893251804877995,0.0,0.0,0.0,0.0,37.02073360370114,56.47977135769848,59.94357796363692
1631,170.83081536465951,154.80082599141537,170.83081536465951,119.43289581734876,93.00287033775265,49.66677822904205,37.87298418412833,35.23065569955764,33.56689141307718,34.04562295473049,74.25602451480626,115.78348732262609,144.0353596069566
1657,174.54871456111735,159.66756365942567,174.54871456111735,121.10017695629315,93.81614247003789,49.2378394568573,37.87298418412833,35.23065569955764,33.56689141307718,33.95383310542175,75.71024300864384,122.64984868742273,146.31457307462586
1676,128.73907357900111,128.73907357900111,126.89360524855064,95.1399443516712,71.22564066794406,29.49554854399377,0.0,0.0,0.0,6.5616847130043245,46.45146655678457,98.21777639969264,114.89820763614176
1690,153.701223454358,146.11484516177813,153.701223454358,101.08301471626913,76.2867137416907,38.45323553357393,30.004564288356114,27.8458223602652,26.549810295116682,29.375008425792366,64.29591734458883,113.59647400371966,134.34760335296716
1691,158.6657589279696,147.70246959241442,158.6657589279696,104.77166542306857,79.7784207105097,39.697878927664796,30.74303677865693,28.558922811535982,27.210297812928065,30.976964030219143,67.59578001150011,115.66156977054295,137.29797880627478
1692,136.39813348916897,124.35393954882299,136.39813348916897,95.74498951098754,74.18911639667985,39.30610156318231,21.50785518304924,19.92859617214055,19.051767189056022,29.199751944672883,60.65064115151128,94.60626199026886,115.36920210237443
1800,227.88910895267549,210.35584099372184,227.88910895267549,153.9015668163869,115.96703771413968,57.371645142552694,47.83358957511148,44.49638965787474,42.395070310672885,42.6132968674809,91.01203877212613,156.44032399589466,191.31580690369864
5300,598.1374749350995,597.8912952626239,598.1374749350995,595.5232812702402,581.7577345843168,509.0614634443701,329.5407987123631,263.3436709257704,240.72386201981044,291.8099539819856,585.728847158178,592.4518967850694,595.4500135105749
5301,813.7556994990244,811.9943425566697,813.7556994990244,800.1396190428183,799.2340295333547,751.4400045484625,491.6823508517524,304.157916053904,395.8715668925854,641.98676373961,803.501143856264,806.1534367561491,807.9704771958494
West Combined - Post ECM,7588.643028338212,6810.850867285125,7588.643028338212,5737.06574931524,4704.094788552176,2955.9150527733013,1735.966096956106,1301.2397872069803,1504.4577542786908,2009.253661776093,4558.170615408151,5787.79781146271,6438.854977313371
