bldg_no,Annual,January,February,March,April,May,June,July,August,September,October,November,December
1045,42.248534791342216,0.0,0.0,0.0,0.0,29.306693566680405,42.248534791342216,41.505306637297046,40.37170785975496,31.704718033423,22.588391690615456,0.0,8.917565564387415
1349,147.9278998353527,3.4481859195777904,0.1130741334915135,3.397250173058449,14.587347185433666,76.87106808567756,135.65584316244752,147.9278998353527,133.18085824095246,75.2574189468082,56.874538046775314,4.602827197695759,31.536788328270045
1380,674.8429578839333,314.1223313683897,268.7602098623093,261.7792577213961,334.8893451679327,538.9107487320282,654.2781631010668,674.8429578839333,603.7966766916501,560.6742040630197,436.6348176599919,285.03239314190324,340.74490452038634
1539,212.86863207920425,127.36632883391135,117.08568986871003,121.58081345969777,141.84696885416844,187.6147006777561,207.8011407497109,212.86863207920425,203.37664727904053,186.2114765446456,167.69700674825376,132.5703912674209,149.83110316041947
1560,228.2683428767033,29.99992380152995,30.66812576967782,76.32273217234219,116.38759465461872,187.5572587541785,216.54989739582936,228.2683428767033,220.42077967446843,170.9917113648846,142.94276146772322,58.14177721794697,89.01094972014647
1569,105.97859057448372,26.513462804302986,24.920270023932183,15.283625359085292,36.22182195231031,73.72495048564802,90.86843396318208,105.97859057448372,93.42078963888372,83.73596409528092,59.61709682656818,25.09397322854676,45.99310345231822
1631,212.64384659255097,87.11184938962096,70.07621605431427,68.57598540740685,84.63862289435787,155.29072353964168,199.38970886909163,212.64384659255097,185.94859182296636,162.15913640170896,125.26559562878684,75.2073037991971,94.33517127950714
1657,211.69341721417223,68.29141342886668,57.23091242978751,54.1308069828278,79.24846035129839,151.92538880269345,196.65564914941996,211.69341721417223,181.5912116201495,154.29838500273436,110.94761003498682,59.89756581056709,78.43899814251576
1676,124.27413630499552,0.0,0.0,0.0,1.4630897541778745,76.1536301830346,106.17817195181208,124.27413630499552,100.3340423698662,77.73299001038058,42.06712381841084,0.0,11.250440339235588
1690,204.21922651519196,56.85050622160508,54.97192086378586,58.98054653059574,85.8006495626501,149.29624851486253,195.1791572566441,204.21922651519196,173.78848828682982,153.6090819198029,104.38457719520466,48.64510328116474,66.45620258476933
1691,223.510627635075,69.18293552847449,67.29116197391551,74.52327599496152,99.86278413969876,167.003600670781,218.70807252453156,223.510627635075,194.3307165997195,163.09989443581188,119.144513915306,57.39298071416723,75.69878393103218
1692,161.130163984969,77.49032719036899,66.00575239834684,60.29995234664912,69.60056175856691,118.19261918173396,145.18065191894124,161.130163984969,149.49377839492027,128.0960757201781,105.79923109882296,67.1244045529172,82.86700846565003
1800,269.84310735016305,86.0887383936542,72.19424045071982,73.42806952348408,108.8483421850556,190.3238493591416,253.46424621249645,269.84310735016305,225.8085976492186,203.5993812684232,140.67556391263903,78.24498511492195,98.3021808588271
3500,943.7620122491973,321.0388078807975,305.87531234045946,316.4903453607734,482.93124963732464,803.8293834195647,921.3098399773515,943.7620122491973,865.0284777128268,769.6719538635848,626.8349910408184,268.5720582554888,522.5134241189259
3501,1427.2588889911383,461.8946104822133,428.01852912334834,457.2670187817506,707.3943581480489,1253.0105722446488,1333.3091061274708,1427.2588889911383,1310.373366641834,1074.920094181309,957.0322688797828,673.5680988657565,702.6290230594155
Combined,4807.399574812537,1324.969957287827,1277.6543004365,1577.4210158897258,2261.6136725845527,4015.43602229919,4711.502627968004,4807.399574812537,4555.04987776007,3721.6575394576194,3100.418886435559,1325.367320586306,2379.9783830801885
