C:\Users\vdee\Documents\eQUEST 3-65 Projects\3500 ANG RC N\JBA B5300 - Baseline Design
Simulated:  2024-Feb-13 15:34:56
CSV Written:  2024-Feb-13 15:34:56
eQUEST 3.65.7175
,,,,"Hourly Report",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"EM1 Hourly Report Block",,,,,,,,,,,,,"FM1 Hourly Report Block",,,,,,,,,,,,,"Load Hourly Report Block 3",,
,,,,"ELEC-METER",,,,,,,,,,,,,"FUEL-METER",,,,,,,,,,,,,"BUILDING-HVAC                   ",,
,,,,"EM1",,,,,,,,,,,,,"FM1",,,,,,,,,,,,,,,
,,,Day,"Var 1","Var 2","Var 3","Var 4","Var 5","Var 6","Var 7","Var 8","Var 9","Var 10","Var 11","Var 12","Var 20","Var 1","Var 2","Var 3","Var 4","Var 5","Var 6","Var 7","Var 8","Var 9","Var 10","Var 11","Var 12","Var 20","Var 1","Var 2",
Month,Day,Hour,Type,"Lighting end-use energy","Task lighting end-use energy","Miscellaneous equipment end-use energy","Heating end-use energy","Cooling end-use energy","Heat rejection end-use energy","Auxiliary end-use energy (pumps)","Vent fan end-use energy","Refrigeration systems end-use energy","Supplemental heat pump end-use energy","Domestic hot water end-use energy","Exterior to the building end-use energy","Total end-use energy","Lighting end-use energy","Task lighting end-use energy","Miscellaneous equipment end-use energy","Heating end-use energy","Cooling end-use energy","Heat rejection end-use energy","Auxiliary end-use energy (pumps)","Vent fan end-use energy","Refrigeration systems end-use energy","Supplemental heat pump end-use energy","Domestic hot water end-use energy","Exterior to the building end-use energy","Total end-use energy","Building cool load (coils+losses&gains) (Btu/hr)","Building heat load (coils+losses&gains) (Btu/hr)",
1,2,8,2,212.636,0,164.519,0,18.1722,0,19.0036,14.7571,0,0,0,0,429.087,0,0,0,901423,0,0,0,0,0,0,26025.9,0,927449,7467.22,-762842,
1,2,9,2,213.623,0,164.965,0,18.2174,0,19.0036,14.7571,0,0,0,0,430.566,0,0,0,706883,0,0,0,0,0,0,32992.9,0,739876,8062.98,-560720,
1,2,10,2,213.623,0,164.952,0,18.229,0,19.0036,14.7571,0,0,0,0,430.564,0,0,0,677623,0,0,0,0,0,0,34203.8,0,711827,8208.27,-520122,
1,2,11,2,213.623,0,164.878,0,18.3342,0,19.0036,14.7571,0,0,0,0,430.596,0,0,0,632065,0,0,0,0,0,0,34203,0,666268,9624.36,-480978,
1,2,12,2,213.623,0,164.817,0,18.4446,0,19.0036,14.7571,0,0,0,0,430.645,0,0,0,504778,0,0,0,0,0,0,34202.3,0,538980,11088.6,-373036,
1,2,13,2,213.623,0,164.825,0,19.418,0,19.0036,15.013,0,0,0,0,431.883,0,0,0,478735,0,0,0,0,0,0,34201.6,0,512937,24195,-352371,
1,2,14,2,213.623,0,164.92,0,17.6417,0,19.0036,15.6716,0,0,0,0,430.86,0,0,0,425104,0,0,0,0,0,0,34200.9,0,459305,0,-308559,
1,2,15,2,213.623,0,164.96,0,17.6098,0,19.0036,16.4439,0,0,0,0,431.64,0,0,0,270254,0,0,0,0,0,0,33766.2,0,304021,0,-188273,
1,2,16,2,212.932,0,164.962,0,17.6098,0,19.0036,17.6627,0,0,0,0,432.171,0,0,0,237628,0,0,0,0,0,0,30740.8,0,268369,0,-164610,
1,2,17,2,206.706,0,164.943,0,17.6098,0,19.0036,18.5145,0,0,0,0,426.777,0,0,0,250752,0,0,0,0,0,0,25187.2,0,275939,0,-175133,
1,2,18,2,180.362,0,157.761,0,18.5173,0,19.0036,18.0543,0,0,0,0,393.698,0,0,0,326060,0,0,0,0,0,0,18968.3,0,345028,12240.6,-245927,
1,2,19,2,113.322,0,119.653,0,18.4409,0,19.0036,16.0144,0,0,0,0,286.434,0,0,0,426741,0,0,0,0,0,0,11729.3,0,438471,10991.9,-378724,
1,2,20,2,70.5929,0,99.2782,0,18.0447,0,19.0036,14.8301,0,0,0,0,221.749,0,0,0,0,0,0,0,0,0,0,8663.88,0,8663.88,5669.7,-64066.1,
1,2,21,2,38.8889,0,90.6627,0,17.7483,0,19.0036,14.7571,0,0,0,0,181.061,0,0,0,0,0,0,0,0,0,0,7484.52,0,7484.52,1766.8,-12565.4,
1,2,22,2,23.902,0,87.5572,0,17.6305,0,19.0036,14.7571,0,0,0,0,162.85,0,0,0,0,0,0,0,0,0,0,3431.18,0,3431.18,247.643,-9275.31,
1,2,23,2,13.5983,0,87.1428,0,17.6232,0,19.0036,14.7571,0,0,0,0,152.125,0,0,0,126966,0,0,0,0,0,0,2624.6,0,129591,175.774,-24535.6,
1,2,24,2,11.8679,0,87.1375,0,17.6294,0,19.0036,14.7571,0,0,0,0,150.396,0,0,0,56069.6,0,0,0,0,0,0,2631.57,0,58701.2,260.793,-25942.6,
1,3,1,3,11.8679,0,87.1375,0,17.6317,0,19.0036,14.7571,0,0,0,0,150.398,0,0,0,57399.4,0,0,0,0,0,0,2635.01,0,60034.4,290.889,-26895.2,
1,3,2,3,11.8679,0,87.1375,0,17.6102,0,19.0036,14.7571,0,0,0,0,150.376,0,0,0,57959.9,0,0,0,0,0,0,2637.4,0,60597.3,0,-27317.3,
1,3,3,3,11.8679,0,87.1375,0,17.6098,0,19.0036,14.7571,0,0,0,0,150.376,0,0,0,61528.8,0,0,0,0,0,0,2638.94,0,64167.8,0,-30083.3,
1,3,4,3,18.1366,0,88.3041,0,17.6098,0,19.0036,14.7571,0,0,0,0,157.811,0,0,0,67697.3,0,0,0,0,0,0,2843.65,0,70540.9,0,-34835.5,
1,3,5,3,68.5754,0,102.528,0,17.6098,0,19.0036,14.7571,0,0,0,0,222.474,0,0,0,72836.9,0,0,0,0,0,0,6049.55,0,78886.4,0,-38761,
1,3,6,3,172.788,0,146.763,0,18.515,0,19.0036,19.3896,0,0,0,0,376.459,0,0,0,2.10174e+006,0,0,0,0,0,0,17197,0,2.11893e+006,12209.2,-1.72114e+006,
1,3,7,3,205.223,0,161.174,0,18.3189,0,19.0036,14.7784,0,0,0,0,418.498,0,0,0,1.0047e+006,0,0,0,0,0,0,20271.9,0,1.02498e+006,9347.91,-926359,
1,3,8,3,212.636,0,164.519,0,18.3683,0,19.0036,14.7571,0,0,0,0,429.283,0,0,0,627904,0,0,0,0,0,0,26021.6,0,653926,10065.3,-510790,
1,3,9,3,213.623,0,164.965,0,17.6231,0,19.0036,15.0967,0,0,0,0,430.311,0,0,0,389052,0,0,0,0,0,0,32989.3,0,422041,0,-278249,
1,3,10,3,213.623,0,164.952,0,17.6098,0,19.0036,17.3039,0,0,0,0,432.492,0,0,0,245649,0,0,0,0,0,0,34199.4,0,279848,0,-169585,
1,3,11,3,213.623,0,164.878,0,17.6098,0,19.0036,20.106,0,0,0,0,435.22,0,0,0,163632,0,0,0,0,0,0,34196.4,0,197829,0,-107400,
1,3,12,3,213.623,0,164.817,0,17.6098,0,19.0036,21.448,0,0,0,0,436.501,0,0,0,82257.6,0,0,0,0,0,0,34195,0,116453,0,-45066,
1,3,13,3,213.623,0,164.825,0,38.0507,0,19.0036,23.6732,0,0,0,0,459.176,0,0,0,61835.7,0,0,0,0,0,0,34194.3,0,96030,276045,-30074.1,
1,3,14,3,213.623,0,164.92,0,81.8395,0,19.0036,27.1027,0,0,0,0,506.488,0,0,0,47839.7,0,0,0,0,0,0,34194.5,0,82034.2,880588,-19412.9,
1,3,15,3,213.623,0,164.96,0,35.7099,0,19.0036,31.0118,0,0,0,0,464.308,0,0,0,36320.3,0,0,0,0,0,0,33760.6,0,70080.9,228724,-10614.7,
1,3,16,3,212.932,0,164.962,0,39.2261,0,19.0036,29.2173,0,0,0,0,465.342,0,0,0,41635.1,0,0,0,0,0,0,30734.5,0,72369.6,287867,-14865.3,
1,3,17,3,206.706,0,164.943,0,30.1184,0,19.0036,29.4224,0,0,0,0,450.194,0,0,0,46739.2,0,0,0,0,0,0,25182.3,0,71921.5,163721,-18770.2,
1,3,18,3,180.362,0,157.761,0,17.8257,0,19.0036,27.7156,0,0,0,0,402.668,0,0,0,62307.7,0,0,0,0,0,0,18963.9,0,81271.6,0,-30807.4,
1,3,19,3,113.322,0,119.653,0,17.6098,0,19.0036,21.1114,0,0,0,0,290.7,0,0,0,99051.5,0,0,0,0,0,0,11724.3,0,110776,0,-59177.3,
