C:\Users\vdee\Documents\eQUEST 3-65 Projects\1691 Dorms\1691 Dorms - 3
Simulated:  2024-Dec-12 16:57:27
CSV Written:  2024-Dec-12 16:57:27
eQUEST 3.65.7175
,,,,"Hourly Report",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"EM1 Hourly Report Block",,,,,,,,,,,,,"FM1 Hourly Report Block",,,,,,,,,,,,,"Load Hourly Report Block 3",,"DHW Hourly Report Block 4",
,,,,"ELEC-METER",,,,,,,,,,,,,"FUEL-METER",,,,,,,,,,,,,"BUILDING-HVAC                   ",,"DW-HEATER",
,,,,"EM1",,,,,,,,,,,,,"FM1",,,,,,,,,,,,,,,"DHW Plant 1 Wtr Htr (1)",
,,,Day,"Var 1","Var 2","Var 3","Var 4","Var 5","Var 6","Var 7","Var 8","Var 9","Var 10","Var 11","Var 12","Var 20","Var 1","Var 2","Var 3","Var 4","Var 5","Var 6","Var 7","Var 8","Var 9","Var 10","Var 11","Var 12","Var 20","Var 1","Var 2","Var 1",
Month,Day,Hour,Type,"Lighting end-use energy","Task lighting end-use energy","Miscellaneous equipment end-use energy","Heating end-use energy","Cooling end-use energy","Heat rejection end-use energy","Auxiliary end-use energy (pumps)","Vent fan end-use energy","Refrigeration systems end-use energy","Supplemental heat pump end-use energy","Domestic hot water end-use energy","Exterior to the building end-use energy","Total end-use energy","Lighting end-use energy","Task lighting end-use energy","Miscellaneous equipment end-use energy","Heating end-use energy","Cooling end-use energy","Heat rejection end-use energy","Auxiliary end-use energy (pumps)","Vent fan end-use energy","Refrigeration systems end-use energy","Supplemental heat pump end-use energy","Domestic hot water end-use energy","Exterior to the building end-use energy","Total end-use energy","Building cool load (coils+losses&gains) (Btu/hr)","Building heat load (coils+losses&gains) (Btu/hr)","Assigned load",
1,1,1,8,5.93688,3.71946,3.90443,0.406866,6.1586,0,0.767954,1.41313,0,0,0,0,22.3073,0,0,0,325246,0,0,0,0,0,0,56437.6,0,381683,608.06,-268933,-38572.8,
1,1,2,8,5.93688,3.71946,3.88394,0.400131,2.58786,0,0.756481,1.49718,0,0,0,0,18.7819,0,0,0,275369,0,0,0,0,0,0,39536.1,0,314905,554.794,-260063,-26229.5,
1,1,3,8,3.98555,3.54941,2.81641,0.401675,2.57861,0,0.757218,1.54878,0,0,0,0,15.6377,0,0,0,286725,0,0,0,0,0,0,21221.3,0,307947,422.377,-270863,-12857.6,
1,1,4,8,3.98555,3.54941,2.81641,0.402459,2.57324,0,0.757835,1.56975,0,0,0,0,15.6546,0,0,0,292499,0,0,0,0,0,0,21221.2,0,313720,380.338,-276203,-12857.6,
1,1,5,8,3.98555,3.54941,2.81641,0.403347,2.57093,0,0.758622,1.59739,0,0,0,0,15.6817,0,0,0,299044,0,0,0,0,0,0,39531.3,0,338575,357.102,-282570,-26229.5,
1,1,6,8,3.98555,3.54941,2.81641,0.404134,2.56936,0,0.759195,1.62053,0,0,0,0,15.7046,0,0,0,304843,0,0,0,0,0,0,74743.1,0,379586,339.512,-288203,-51944.8,
1,1,7,8,5.93688,3.71946,3.87164,0.403396,2.57553,0,0.759021,1.59028,0,0,0,0,18.8562,0,0,0,299414,0,0,0,0,0,0,74743.2,0,374157,445.912,-282399,-51944.8,
1,1,8,8,9.26561,3.8555,4.86553,0.229963,2.58887,0,0.711021,0.348145,0,0,0,0,21.8646,0,0,0,84428.5,0,0,0,0,0,0,109956,0,194384,626.661,-60330.6,-77660,
1,1,9,8,10.5282,2.93723,4.91266,0.21391,2.55418,0,0.718002,0.341495,0,0,0,0,22.2057,0,0,0,78249.9,0,0,0,0,0,0,162080,0,240330,0,-61504.9,-115718,
1,1,10,8,8.57691,2.76718,3.9782,0.226738,2.54099,0,0.721974,0.376131,0,0,0,0,19.1881,0,0,0,82983.6,0,0,0,0,0,0,126919,0,209903,0,-67464.2,-90003.3,
1,1,11,8,8.57691,2.76718,4.02942,0.197973,2.54099,0,0.711596,0.309951,0,0,0,0,19.134,0,0,0,72394.6,0,0,0,0,0,0,91697.9,0,164093,0,-54911.7,-64288.1,
1,1,12,8,8.57691,1.84891,4.04991,0.195974,2.61667,0,0.696609,0.329476,0,0,0,0,18.3145,0,0,0,71982.2,0,0,0,0,0,0,91701.9,0,163684,1231.88,-56039,-64288.1,
1,1,13,8,7.31429,1.84891,4.06426,0.194646,2.68127,0,0.696573,0.323956,0,0,0,0,17.1239,0,0,0,71479.7,0,0,0,0,0,0,91695.5,0,163175,1861.79,-53833.1,-64288.1,
1,1,14,8,3.98555,1.23673,3.02132,0.19209,2.69942,0,0.702713,0.314766,0,0,0,0,12.1526,0,0,0,70359.1,0,0,0,0,0,0,74787.4,0,145147,1941.52,-52053.8,-51944.8,
1,1,15,8,3.98555,1.23673,3.02132,0.189821,2.64528,0,0.690972,0.312933,0,0,0,0,12.0826,0,0,0,69832.9,0,0,0,0,0,0,56474.8,0,126308,1032.82,-53599.7,-38572.8,
1,1,16,8,3.98555,1.23673,3.02132,0.21115,2.56272,0,0.703765,0.336771,0,0,0,0,12.058,0,0,0,77517.6,0,0,0,0,0,0,56469.4,0,133987,0,-60143.3,-38572.8,
1,1,17,8,3.98555,1.71287,3.00697,0.232797,2.54099,0,0.703774,0.394757,0,0,0,0,12.5777,0,0,0,85725,0,0,0,0,0,0,56463.1,0,142188,0,-71264.3,-38572.8,
1,1,18,8,3.98555,2.155,3.00082,0.290914,2.54099,0,0.730912,0.515501,0,0,0,0,13.2197,0,0,0,106930,0,0,0,0,0,0,56466.7,0,163397,0,-93904.6,-38572.8,
1,1,19,8,9.72475,2.63114,6.06011,0.404421,2.54099,0,0.766148,1.66057,0,0,0,0,23.7881,0,0,0,307074,0,0,0,0,0,0,74781.3,0,381855,0,-296648,-51944.8,
1,1,20,8,13.5126,3.8555,8.0785,0.400093,2.56895,0,0.756441,1.49974,0,0,0,0,30.6718,0,0,0,275088,0,0,0,0,0,0,110017,0,385106,455.009,-258314,-77660,
1,1,21,8,15.4639,4.02555,9.09275,0.394804,2.61378,0,0.754598,1.29033,0,0,0,0,33.6358,0,0,0,236458,0,0,0,0,0,0,109969,0,346427,1029.03,-220294,-77660,
1,1,22,8,11.6761,4.63773,7.03338,0.39457,2.63186,0,0.754471,1.29344,0,0,0,0,28.4215,0,0,0,234768,0,0,0,0,0,0,109966,0,344734,1126.86,-220375,-77660,
1,1,23,8,9.72475,4.46768,5.9556,0.395847,2.62705,0,0.754931,1.33988,0,0,0,0,25.2657,0,0,0,244024,0,0,0,0,0,0,109963,0,353988,1015.06,-229599,-77660,
1,1,24,8,5.93688,4.16159,3.90443,0.397865,2.61006,0,0.755716,1.41025,0,0,0,0,19.1768,0,0,0,258749,0,0,0,0,0,0,91644.1,0,350393,776.779,-243936,-64288.1,
1,2,1,2,4.0541,4.48314,2.90716,0.399578,2.59895,0,0.756654,1.46803,0,0,0,0,16.6676,0,0,0,271311,0,0,0,0,0,0,56433.8,0,327745,677.517,-255894,-38572.8,
1,2,2,2,4.0541,4.48314,2.8845,0.399292,2.59513,0,0.75667,1.44656,0,0,0,0,16.6194,0,0,0,269210,0,0,0,0,0,0,39530.1,0,308740,649.255,-253231,-26229.5,
1,2,3,2,2.07249,4.32855,1.79391,0.401041,2.58635,0,0.757562,1.51066,0,0,0,0,13.4506,0,0,0,282068,0,0,0,0,0,0,21220.3,0,303288,515.957,-266341,-12857.6,
1,2,4,2,2.07249,4.32855,1.79391,0.402015,2.58105,0,0.758265,1.53929,0,0,0,0,13.4756,0,0,0,289242,0,0,0,0,0,0,21219.8,0,310462,475.44,-272990,-12857.6,
