bldg,Annual,January,February,March,April,May,June,July,August,September,October,November,December
1045,63963.083992401254,15212.830887460135,12317.398786451442,11535.024943276101,4971.23849769441,659.7486798615064,0.0,0.0,0.0,19.40007186101868,1129.243976364407,7815.499231860808,10302.698917571426
1058x1060,11545315.888670517,1566857.8916117793,1314917.6528995568,1414425.7917753719,974815.0399367905,725666.9652083647,518678.86946088413,489905.9611235406,519246.97946334,594039.2905687982,813089.5355468793,1256013.1014477126,1357658.8096275008
1065,557965.7721641128,75483.81240874501,64752.366742064085,63125.82629327854,47632.36333335482,37818.98541930553,27706.560365893332,26270.43143690972,29304.44891390804,28581.988254591983,39846.52250697656,55406.221309078,62036.245180007165
1345,154581.5464025237,35573.18845610763,27936.82178819053,25967.909036904093,10832.780087991649,2326.7192971453123,54.79482067276216,0.0,0.0,440.7879068338891,5225.988443036662,20670.586322316012,25551.97024332516
1349,84473.19848617088,20210.366924354264,16238.293801049313,14141.834821938828,5963.869880913515,670.3373219227102,0.0183707477590323,0.0,0.0439134713619773,98.4918176910574,1830.754966000829,11781.940467600703,13537.24620048052
1359,207679.85600178427,50200.31315000958,41506.927026794314,30757.402981968517,12961.478960172233,3252.133411217939,403.54009977603516,180.21577223925618,238.56184600465048,1173.9340138423313,6477.412036301537,26503.368518130257,34024.568185327575
1380,772275.1849577186,148665.74410317626,117393.4076058382,99106.76296766079,51570.44624998022,31386.991433093935,22596.129495226167,21286.18586213587,20503.430121899968,21481.01635131246,37416.91925084009,89605.06809036671,111263.08342618801
1500,926167.155804565,215359.08233156768,177570.66053229908,127534.61269412586,51493.82691242041,16033.896513055437,786.0884903647034,457.0810093190729,3080.107166641951,11278.584161854931,34288.0331443709,131349.85912719928,156935.32372134572
1560,101379.61417461524,28492.672678628263,22308.262861569066,11642.169653255933,1909.694862347464,19.56942501220641,0.0,0.0,0.0,3.775018448821884,1415.6860793015062,15016.620206896434,20571.163389155554
1569,54906.15316126938,15261.145224905647,11267.132264718173,9266.729667170945,2186.7814440313446,204.39043275455714,0.0,0.0,0.0,0.0,827.6537875621825,6615.6031695046695,9276.717170621856
1631,295907.7957298524,47680.96892424172,40594.65602683007,34548.59431515452,21643.976870613827,16304.734470010335,13609.822523212692,13019.525066659007,12446.26199240829,12210.571232448709,15861.226193868839,30223.21782909387,37764.24028531052
1657,298947.62396860094,48669.35353746708,41320.93789059776,34879.60386894508,21673.88852923765,16293.26059667798,13609.355080826062,13019.525066659007,12446.9221960868,12203.617695764126,15832.414257167493,30641.99586922233,38356.74937994961
1676,83736.78611265299,23349.45025148426,19028.176752315703,12466.684669043669,3910.3396019274696,321.22538276543,0.0,0.0,0.0,11.591396254903811,687.2105762304147,9882.98511609423,14079.122366536914
1690,243013.9304931565,40989.46660731001,34464.33275051273,27233.114676616624,16586.174220211233,12791.27648369558,10760.078255887356,10290.455614098122,9841.82688238356,9701.505669752314,12585.204841093953,25522.75752345594,32247.736968139077
1691,252125.09834473184,42477.11447296156,35604.328253923784,28371.76032035009,17288.979852318575,13235.61840127697,11052.017231580634,10554.213550901459,10116.334058459466,10032.301069073328,13232.457844673521,26670.021586440424,33489.95170277204
1692,205737.9388194776,35862.178100589015,29960.097748423133,25170.30506212813,14489.040924791523,9912.789817627756,7752.505553989255,7364.63612592911,7094.513560367653,7243.060119361972,10637.910512332137,22365.943614509597,27884.957679428346
1800,366957.62570964213,60146.52607089623,51373.62836892487,42457.36851854349,25943.21343257989,20169.243715258624,17174.0850301658,16443.670251706993,15718.807249378835,15367.91342570151,19395.093482507473,36504.532502255184,46263.54366172334
5300,666388.2515987523,141741.16399472824,110040.86673579237,89547.0216770873,39152.50776225023,18163.971165033578,12536.38231107322,15403.955631096243,11712.71196951944,16258.5378045521,27767.655543233548,80628.54929577961,103434.92770860651
5301,830816.1979647682,171450.5517062303,134346.19405054068,110507.95128104283,65271.66957617826,27582.58907747685,7249.632634163525,6238.27352504673,8491.561721933027,19240.09475572822,46721.20677568519,110226.18722784691,123490.28563289571
West Combined - Post ECM,16215134.252993794,2470492.105741684,2058555.0821000594,2012631.496265733,1285873.1335973768,907067.8860090466,644183.8647792267,608791.9008800981,640038.2373643506,723887.8287735916,1029779.2674455079,1802589.321931737,2031244.1281053836
