building,Annual,January,February,March,April,May,June,July,August,September,October,November,December
1045,35.1728,19.8336,19.8336,19.8336,19.8336,29.6751,34.3334,35.1728,32.9919,29.1976,27.0836,19.8336,23.6312
1058x1060,1844.04,1224.22,1229.49,1215.99,1487.21,1651.78,1823.24,1844.04,1802.54,1657.89,1492.8,1331.62,1359.58
1065,164.552,99.0712,97.5263,98.0362,111.602,139.175,156.05,164.552,150.845,137.735,121.788,111.283,114.256
1345,53.1573,16.8294,16.8906,16.8941,16.8662,32.3944,43.7931,53.1573,43.4088,41.9855,22.0886,16.6142,16.7255
1349,66.8857,22.6357,22.0825,22.6996,24.1596,45.9371,55.6832,66.8857,54.8827,42.6581,38.7293,22.5692,30.9668
1359,274.725,160.375,159.506,157.421,155.708,219.512,265.899,274.725,248.26,209.029,181.646,157.595,161.557
1380,469.48,297.731,293.508,298.807,316.187,385.559,441.365,469.48,390.254,361.234,338.84,302.193,308.255
1500,1592.12,1010.72,968.281,1010.5,1083.15,1409.09,1512.73,1592.12,1504.07,1375.05,1274.13,1026.52,1125.6
1560,133.816,56.0276,56.6218,67.0546,79.593,112.474,124.167,133.816,114.842,101.107,92.5204,62.8997,76.208
1569,89.3544,65.9082,65.2921,63.8942,68.3994,82.7564,88.159,89.3544,86.3009,85.0508,76.7244,65.6141,71.9405
1631,131.211,66.8145,65.4244,68.6037,75.4956,103.031,119.248,131.211,104.776,95.3956,84.8099,67.2576,72.2738
1657,131.197,66.1305,64.9611,67.6344,74.633,102.74,118.515,131.197,103.652,94.1275,83.6618,66.8638,71.4857
1676,66.956,22.084,22.0687,22.0687,22.1801,43.8413,57.4196,66.956,52.1678,42.9341,33.7806,22.0687,23.8376
1690,127.35,64.9759,64.3076,67.3376,74.7763,99.9829,117.93,127.35,102.732,93.3872,81.4716,65.9253,70.0373
1691,133.245,66.5739,65.9571,69.6901,77.4715,104.089,127.682,133.245,110.179,99.1421,83.9005,67.5085,71.6436
1692,96.5813,47.2906,45.9177,48.2762,53.3704,75.837,87.3237,96.5813,76.0523,68.6167,60.5799,46.9049,51.4294
1800,180.034,103.072,101.327,104.843,114.056,146.607,165.122,180.034,149.12,134.628,125.501,104.494,110.295
5300,786.45,532.65,531.219,533.332,582.821,713.7,772.813,786.45,718.552,687.658,642.938,498.245,598.816
5301,989.47,530.417,525.59,537.076,605.004,844.566,940.072,989.47,889.69,796.221,703.378,570.921,630.448
west,5220.3725,2985.9312999999997,2987.653,3072.5604,3339.3345,4476.3209000000015,5052.530100000001,5220.3725,4924.0022,4379.8498,3944.3383,3046.7209000000003,3450.0654
