building,Annual,January,February,March,April,May,June,July,August,September,October,November,December
1045,25346.65631735139,0.0,0.0,0.0,0.0,566.9026728664868,5989.6399739518465,9219.861523934233,6686.114352802433,2368.1255234981427,516.0122702982467,0.0,0.0
1058x1060,7811160.08164373,57592.18168528743,73800.37322596775,31777.61886814793,221010.00046305225,808912.3814307845,1468771.8691660548,1912625.9751206134,1580755.2719083792,975730.2286950543,475459.2496443583,77980.98056880399,126743.95086722652
1065,511089.2270661656,4423.44896548854,6115.948521485918,2705.836245971006,18411.372255316455,57248.718195198206,91082.69759875175,114071.99202143405,98763.65376939179,66228.61601304988,35462.70146435876,6344.340505172411,10229.901510546746
1345,33195.54613494984,0.0,2.8069611405387,0.0,0.0,1649.676191670804,9161.5778798186,12669.208930929604,6705.768851354956,2387.5793328648106,618.9279871705222,0.0,0.0
1349,52568.55108550584,8.643289171435422,0.0,5.057968572234098,40.062913559869436,2917.726385068383,13540.378893961624,16635.281474217663,12282.757654868994,4922.380891240751,2033.7798042988834,12.090795459274554,170.39101508671092
1359,456187.4208696033,4872.640852285749,5872.697145253627,6566.726121055337,15919.014292195343,44014.55707294714,85629.40027114932,103489.02478267318,88062.88284602459,52029.28515284535,32109.526309280212,8174.534956341208,9447.13106755229
1380,989263.5605449599,9785.388958900305,5643.947470533173,11366.494747873916,38214.051306774454,108868.10647974207,189031.71329329204,226208.55919829832,184768.39691900281,116488.04576128426,72370.15541850252,11228.394382179875,15290.30660857608
1500,2701756.613268733,45741.67509148213,59466.63995753987,76605.46750399016,140577.90909639752,284794.38692762493,460855.9813747494,512494.67636458273,451994.4597850852,271949.7459367166,230930.53457329737,79620.45652379064,86724.68013347627
1560,190601.44303959215,238.71443245914145,69.8082793740706,1605.332272806935,6804.325889719713,23995.615776248465,40256.7553314018,44377.906772344184,37168.375884708206,20197.480537445394,14009.271887277844,491.02245891290573,1386.8335168934937
1569,105692.15462017701,105.10644926266258,140.975158712621,21.174227215631703,1088.7856953198313,9657.77983741591,22826.01796759924,28595.44931014008,23263.227031583097,13111.767060104768,5914.110845914385,97.2378347677207,870.5232021410599
1631,251978.01474322582,4430.611730687058,2310.1698004098307,4591.674113064462,10269.679025667749,26070.70849044383,45162.05609848593,54191.58672177184,44094.622087826356,29185.485539581885,21070.141866897684,5069.667912648419,5531.611355740763
1657,237260.5399933971,2654.781124742171,1494.762280291969,3102.5076773094443,8964.57122036539,25517.249677768392,45062.30084211032,54395.35807712575,43441.996728154925,27696.901447829547,17912.572844272014,3192.8460712654987,3824.6920021616916
1676,27307.657717644815,0.0,0.0,0.0,0.0,1115.1947896658464,7188.355484619339,9507.534240954803,6482.064873032835,2348.8839063555974,665.6244230163927,0.0,0.0
1690,233312.65672244006,1382.1811275439302,1010.193935926465,2792.978505475446,10335.953604920313,27626.67956667689,45383.726591683466,52953.724170916685,43061.98173170988,27302.685952108677,16899.176380701625,1993.2693541417677,2570.105800634909
1691,244974.43088748655,1517.050254239126,1146.598848465275,3399.991225148309,11157.581842725187,28855.099178170196,47742.75128936604,55002.93542883034,44810.58118331535,28529.526174467537,17780.372715144917,2247.9375026420353,2784.00524497222
1692,184060.02020058368,2951.6868525694417,1235.3175288718933,2500.641335205276,6621.910507182878,19014.1127593752,34526.75344402432,41023.546558144415,32439.01699870639,21301.41696916482,15452.301381654106,3230.4954565489948,3762.820409135962
1800,339358.7804928429,3083.5573948856763,1780.7358699901706,3625.8447931973524,12642.429108307919,37005.66334578104,64455.40379034636,77833.4867950982,62837.13931014595,40734.17260477436,25896.707994567638,4301.868835816329,5161.770649931919
5300,1083613.9972875395,5290.077035832624,3652.303971317724,2069.073842647815,14751.618046962874,99704.7202558979,230245.47097395128,293067.6227425471,233735.72292712322,127501.82606292471,57326.45013660041,3472.4754497614695,12796.635841972578
5301,1507881.0829675319,60614.91798113912,50893.85133121658,44297.96472714207,66228.33844546915,141560.23843673564,247905.92366906186,275505.5398339225,239813.44659747457,153957.41756937432,110688.41800839473,49859.408694010985,66555.61767359037
West Combined - Post ECM,14395113.35534839,138787.6682090048,160090.97498396315,150667.34560503345,502057.64722150494,1507830.5587774485,2676667.379291366,3325296.1074920096,2767618.311916093,1702512.3274983868,985101.1678110114,203985.1431584911,274498.7233840766
