building,Annual,January,February,March,April,May,June,July,August,September,October,November,December
1045,28.6235,14.5413,14.5413,14.5413,14.5413,22.8349,27.8651,28.6235,26.4607,23.0993,20.3653,14.5413,14.5413
1058x1060,1533.6,947.124,951.321,937.462,1209.51,1372.89,1524.81,1533.6,1498.29,1378.77,1214.47,1054.78,1080.79
1065,140.806,76.1046,75.401,75.063,88.8756,115.646,132.004,140.806,126.982,114.212,98.5259,88.5482,91.2468
1345,50.4624,15.7644,13.819,13.8226,13.7947,29.8984,42.8651,50.4624,42.4706,40.3567,20.4823,13.5426,13.6539
1349,54.6685,15.2292,14.8433,15.0249,15.6424,35.5681,47.6228,54.6685,45.3516,32.4653,29.1049,15.0431,20.1948
1359,269.295,160.363,160.914,160.489,156.142,215.577,259.107,269.295,242.113,205.531,179.354,161.315,160.391
1380,424.159,217.6,215.162,226.324,263.784,323.487,411.776,424.159,373.463,324.064,264.102,219.609,234.271
1500,1285.99,717.264,698.914,716.309,761.11,1081.55,1177.06,1285.99,1175.4,1007.28,888.334,729.526,804.283
1560,124.55,44.1612,42.5813,55.0338,68.3093,98.3042,109.321,124.55,105.305,88.5994,79.8457,50.7798,62.4517
1569,78.7717,51.7622,52.1071,49.5825,55.1288,69.3687,76.385,78.7717,74.0991,71.8263,61.7927,51.5998,58.0177
1631,112.847,44.91,43.0519,48.4018,61.283,85.1162,107.371,112.847,95.0837,85.7854,64.0832,45.2684,52.0286
1657,112.357,43.0591,42.1499,47.1543,59.6306,84.7918,106.21,112.357,93.9833,84.539,62.9293,43.6866,51.4881
1676,58.9052,16.1089,16.0936,16.0936,16.2048,32.7278,41.5936,58.9052,42.0637,30.7481,23.9093,16.0936,16.2554
1690,114.155,44.5335,42.5745,50.2721,63.3483,86.3478,109.847,114.155,96.3958,86.8771,62.4291,44.1744,51.5856
1691,121.651,45.5942,44.0432,55.6427,68.5369,93.0719,118.855,121.651,103.245,92.1179,64.3693,45.2767,52.6769
1692,86.9374,33.5525,31.0669,35.4391,45.9369,65.0407,81.4557,86.9374,71.4607,63.8797,46.902,32.0221,38.3247
1800,185.398,80.9681,79.4371,85.9074,98.3968,135.122,176.091,185.398,143.634,131.807,108.675,81.4794,93.2003
5300,550.447,355.488,352.684,355.749,393.454,486.381,535.439,550.447,510.5,478.452,441.537,344.785,416.492
5301,752.119,434.968,425.122,435.205,474.133,621.057,739.64,752.119,696.005,594.818,543.846,467.668,494.64
west,4308.1478,2236.7811,2242.5128999999997,2303.9227000000005,2538.2301000000007,3629.0110999999993,4094.1528999999996,4308.1478,3989.6699999999996,3486.1338,3063.3519,2341.3120599999993,2634.3600999999994
