[kW],Annual,January,February,March,April,May,June,July,August,September,October,November,December
1045,29.11413584531162,18.31178,18.31178,18.31178,18.31178,18.868534335222456,29.11413584531162,28.29672503330452,25.806575913040177,18.868534335222456,18.868534335222456,18.31178,18.868534335222456
1058x1060,2241.8143417124666,902.3991150554584,902.3991150554584,902.3991150554584,902.3991150554584,902.3991150554584,1084.0420089455438,2241.8143417124666,963.9493454891968,902.3991150554584,902.3991150554584,902.3991150554584,902.3991150554584
1065,109.90293593052644,70.31404355517643,70.31404355517643,70.31404355517643,70.31404355517643,70.31404355517643,81.40960191707241,109.90293593052644,76.85956845935543,70.31404355517643,70.31404355517643,70.31404355517643,70.31404355517643
1345,34.72916273407108,6.13104,6.13104,6.13104,6.13104,7.489491534860898,7.836863202492763,34.72916273407108,13.569879777910304,7.492761565273435,6.13104,6.13104,6.13104
1349,55.44453602253698,18.572074871445714,16.69036,18.572074871445714,18.572074871445714,18.639764871445717,35.85004266022214,55.44453602253698,32.900068180021904,18.639764871445717,18.639764871445717,18.37954487144572,18.631294871445714
1359,188.54286087857275,91.51389770476575,91.51389770476575,91.51389770476575,91.51389770476575,96.77332974142725,167.25342307254243,188.54286087857275,131.20463288110403,91.51389770476575,91.51389770476575,91.51389770476575,91.51389770476575
1380,338.13381988183284,204.80333071451707,204.80333071451707,204.80333071451707,204.80333071451707,204.80333071451707,300.5942164421145,338.13381988183284,212.44576145563957,204.80333071451707,204.80333071451707,204.80333071451707,204.80333071451707
1500,1520.5677725229064,729.3820646450629,729.3820646450629,729.3820646450629,729.3820646450629,797.5534615325386,1060.2494525224606,1520.5677725229064,1012.1385400011666,763.2332577327558,729.3820646450629,729.3820646450629,729.3820646450629
1560,91.09236327654168,33.06683720803153,33.06683720803153,33.06753720803153,33.06753720803153,43.70494570081796,71.34827362679042,91.09236327654168,75.05230574976706,33.06753720803153,33.06753720803153,33.06683720803153,33.06753720803153
1569,63.01150328727172,35.296593752529404,35.296593752529404,35.296593752529404,35.296593752529404,35.296593752529404,43.27434868606119,63.01150328727172,45.296276961173696,38.17876061982019,35.296593752529404,35.296593752529404,35.296593752529404
1631,97.9307265812414,55.9344864333696,55.9344864333696,55.9344864333696,55.9344864333696,55.9344864333696,75.6140035288663,97.9307265812414,55.9344864333696,55.9344864333696,55.9344864333696,55.9344864333696,55.9344864333696
1657,100.0646104506593,55.92196160429923,55.92196160429923,55.92196160429923,55.92196160429923,55.92196160429923,72.90018502128586,100.0646104506593,55.92196160429923,55.92196160429923,55.92196160429923,55.92196160429923,55.92196160429923
1676,47.2375333351308,12.534297,12.534297,12.534297,12.534297,14.171990815550068,23.31501390997383,47.2375333351308,16.72373701526389,14.171990815550068,14.171990815550068,12.534297,14.171990815550068
1690,95.61329834285485,55.633706163108464,55.633706163108464,55.633706163108464,55.633706163108464,55.633706163108464,79.67551371841111,95.61329834285485,55.633706163108464,55.633706163108464,55.633706163108464,55.633706163108464,55.633706163108464
1691,102.05037350328742,57.23916968255253,57.23916968255253,57.23916968255253,57.23916968255253,57.23916968255253,93.0841119626364,102.05037350328742,57.23916968255253,57.23916968255253,57.23916968255253,57.23916968255253,57.23916968255253
1692,61.01699984663536,40.00600529079879,40.00600529079879,40.00600529079879,40.00600529079879,40.00600529079879,45.1304166150108,61.01699984663536,40.00600529079879,40.00600529079879,40.00600529079879,40.00600529079879,40.00600529079879
1800,143.33068944563985,88.13927254786923,88.13927254786923,88.13927254786923,88.13927254786923,88.13927254786923,109.0340580641022,143.33068944563985,88.13927254786923,88.13927254786923,88.13927254786923,88.13927254786923,88.13927254786923
all,4023.087440478184,2144.5992161495083,2147.722511858709,2147.6073533575395,2152.854034357539,2200.959194804408,2867.0138574418115,4023.087440478184,2633.7225319799068,2155.3601935642073,2155.3601935642073,2144.5992161495083,2149.8458971495074
