[kWh],Annual,January,February,March,April,May,June,July,August,September,October,November,December
1045,31048.035272271787,0.0,0.0,0.0,0.0,1059.6252559242848,7256.317204852553,10536.978329155118,8019.601552338678,3157.159570146847,974.3988556162083,0.0,43.95450423810029
1058x1060,7842332.546212907,57685.416081745716,73907.68775156485,31825.409962422433,221362.24811276904,810423.5796751718,1479043.940258055,1924899.9572702427,1584292.7615556445,977509.9846372162,476326.32229256583,78088.45645931498,126966.78215619398
1065,524800.0602583361,4577.502020724812,6143.136038887011,2714.760405633763,18502.48617437375,58587.56171343397,93894.28782272252,117768.16849943525,101558.53762826987,68282.48566443015,36025.66475838344,6400.890203279934,10344.579328761816
1345,34877.75322949631,0.0,5.780040807211423,0.0,0.0,1802.8797658479627,9541.989905461145,13118.088022128035,7112.292905746596,2598.9464565073786,697.7761329979819,0.0,0.0
1349,63265.417802219265,21.40570497945279,0.1130741334915135,19.44479655301567,116.26118051358941,4039.6656877996284,15830.924599269316,19267.069242428952,14613.67590827111,6090.319271589518,2898.8032810475065,27.17248027778445,340.5625753558908
1359,474405.38703478925,5426.743269535676,6801.865468201499,7601.207538088978,17002.54440407521,45336.13462569846,88536.46143683352,107020.19728370037,90594.65834071385,53492.78136724673,33177.50468796434,8976.141266251523,10439.147346479134
1380,1251795.9095450894,19161.914997382875,13580.064211571498,23822.10047794025,59483.99122896996,137320.2453737271,221872.49090747104,263384.458501434,219632.29991600584,145682.46410319384,97533.41719600181,24122.90236396961,26199.560267421464
1500,3396599.7366932556,61341.820372657414,77874.17509587819,104818.17866900029,180711.79013065694,356403.4826217666,568621.1535158854,627604.0856447358,565528.304507843,346767.098204002,290416.52941173024,104257.92692683951,112255.19159226082
1560,220570.51879845565,325.3989807575417,141.00970885736876,1976.3665624115292,7986.155402383606,27501.47202842086,46159.15480070877,51381.950000908524,43034.829837386606,23881.600140908555,15744.389460051781,626.0633004136405,1812.1285752468686
1569,154965.2533247444,575.9196129586635,937.4363347129163,274.10863908946345,3835.181484240691,15583.99748017521,30687.999954280916,37839.16772514157,31843.202305179562,19652.654060118246,10593.808044917241,1124.2100680452338,2017.5676158846848
1631,331424.5290708886,6226.195174761191,4022.4992122250483,6861.216306355363,14144.93623653412,33722.032685040656,58519.93178771575,70772.87826825495,57415.96185035676,37608.6013213987,26694.250045865614,7482.036172586018,7953.9900097944355
1657,316669.858032872,4351.778330444629,3074.5315323922623,5329.180834209128,12861.44620300093,33212.87318054173,58522.57248086393,71098.61160526145,56829.06165687126,36155.55662982373,23588.41234919297,5487.642879458124,6158.190350811895
1676,45366.27756699458,0.0,0.0,0.0,2.3113897370039114,2041.7935625187934,11867.775784243444,16571.76102284137,9548.40270422509,4082.3493863971667,1212.9267920268267,0.0,38.95692500487963
1690,309412.1525331771,3073.227834644631,2517.6942383113014,5624.1807884900445,14907.632173573082,35281.03092720057,57451.387114018115,67722.20030702122,55273.21049358438,35413.045087220875,22889.697826174877,4482.630108301471,4776.215634636542
1691,322810.65391241043,3346.4364259752383,2780.755201747172,6161.794718684041,15783.171852167936,36703.81345793932,60071.014969482516,70077.35085468306,57297.43202363794,36853.34110948489,23859.024832495248,4779.100961507464,5097.417504605612
1692,245820.83553084842,4890.670308357624,2756.1187478100264,4581.551299447678,10202.727962083642,25027.08486780445,43998.38152984255,52568.33385011527,42003.44660040527,27707.315047263568,20305.732850801636,5729.062364051672,6050.410102865004
1800,425586.1198280435,6136.42110419203,4086.702466368633,7291.812661958383,18369.880356679176,45705.14024914555,76782.31002695668,92370.74600060607,75310.59993986183,49635.26132558375,33103.8878012697,8114.116086024556,8679.241809397146
all,15991751.044646801,177140.85021911748,198629.56912346848,208901.31366028436,595272.7642917586,1669752.413158157,2928658.094098663,3614002.002428094,3019908.2797263423,1874570.9633825324,1116042.5466191033,259698.35164032155,329173.8962989582
