[MWh],Annual,January,February,March,April,May,June,July,August,September,October,November,December
1045,39380.941421332456,3144.5984880000005,2844.1612096,3264.8383216,3131.9032836508404,3369.3257599710787,3468.2914598493885,3655.0995146413497,3971.2294399006237,3199.286305831085,3303.8775842880955,3003.9713996,3024.3586544
1058x1060,4501370.601178801,375458.3515987904,339252.41908923,379449.4985987904,366172.6067956036,379449.4985987904,370533.65503679955,404522.90745720186,415195.1100544646,358482.6603559463,379449.4985987904,361937.1903956036,371467.2045987904
1065,169543.673764597,12394.595784202615,11494.576774516165,13659.152059904434,13941.236665964498,15160.230551188666,15121.397919986597,16549.339265636765,17852.062353739762,13726.234159044861,14659.217821614537,12927.523636365133,12058.106772432964
1345,6755.104732432761,356.1574716,327.754521,360.80567699999995,375.9142625632994,505.6080259137179,808.3884557544332,1202.6789729766947,1039.1728558572831,688.0520499269719,378.56445564036164,345.2209896,366.78699459999996
1349,37163.5046529113,2827.8301950000005,2558.2580209999996,2954.583386,2935.158571946409,3288.6098500556045,3389.747637220115,3656.605123747261,3952.483389649515,3035.0555662519405,3156.8773536176304,2707.2185544228296,2701.0770039999998
1359,332028.8632514457,26022.041989933736,23905.719740689103,28327.994005852102,28071.429082535113,29556.19241636893,28557.89876147495,29054.435049590917,31713.102199243665,26186.195253736256,29319.171670479715,26101.052940316717,25213.630141224487
1380,575796.4996818134,44279.502052238284,40696.64613399694,46801.03588917697,47496.3439054122,50876.77912617152,50454.67361512346,52927.6826284986,53076.903188392134,49717.761893002054,49492.51573704295,45747.61889055192,44229.03662220632
1500,1919580.381930201,155066.58630035727,142032.94446382244,164683.33744490438,157877.18027685385,165459.9657557875,160829.57692524063,175879.82817943877,187800.73292417038,144695.84976090395,165153.85811956116,150633.16393974234,149467.35783941828
1560,91661.84366599083,6713.9050407591,6117.359483554601,7385.582558039065,7620.586444862385,8647.894450737078,8379.821528710854,8930.185158136548,9296.51213970225,7573.169918853571,7949.474269260136,6630.632181375258,6416.7204919999995
1569,191689.22892683558,15515.30909,14181.41788,15954.024753302972,15773.519805926915,16303.971202135379,16239.38801422015,17317.275470196702,17533.470354329667,15838.348237949378,16138.524119147078,15171.193706307833,15722.786293319532
1631,145749.72654957345,11189.474606598156,10269.24423084411,11840.748743088978,12041.088520687677,12965.349407378608,12664.981320746498,13236.224479187578,13331.453376597507,12581.783244347862,12687.179530902344,11748.261364211412,11193.93772498273
1657,143908.62971111963,10822.42242545321,9950.07907873475,11613.42756392529,11985.670574169477,12935.17042814285,12639.041807506537,13206.41033655252,13304.498793035156,12555.19955533856,12572.828042319685,11493.6968820755,10830.184223866083
1676,14357.473206437515,1055.7794437,970.8187725,1118.5509171,1077.7279529808056,1184.8497557373457,1313.7839069592942,1481.112482489957,1699.458443898456,1208.0270306322743,1122.5337335393838,1006.2798498,1118.5509171
1690,148939.69004666872,11082.3616056047,10185.708579655446,11980.81492191826,12490.62468236056,13486.043363791108,13194.32432414281,13794.26422095068,13854.272549043828,13069.513134889934,13075.263636599873,11675.008502750525,11051.490524961002
1691,153825.60595504718,11401.382393903212,10524.387566567531,12353.276347797622,12858.109378263965,13953.117366732069,13658.516071208658,14294.272001486368,14338.514408394403,13524.77012139903,13480.444290737349,12077.5041199868,11361.311888570173
1692,107951.20216527853,8204.66139986438,7485.564313780787,8705.330413705638,8891.351298552678,9591.209215016435,9509.015732708205,9958.2907149167,9990.474446914724,9394.668137771434,9404.830632278776,8631.277780748767,8184.528079020006
1800,274139.6684590111,21069.820635747077,19300.349010661703,22280.679395861844,22763.2039881431,24395.740575509724,23777.15436743624,24791.835595128985,24967.733042728658,23635.799943343234,24019.18465988805,22021.652851232724,21116.514393329795
all,8853842.639299497,716604.7805217521,652097.4088701536,742733.680997968,725503.6554904773,761129.555849428,744539.6568850884,804458.4466507782,832917.1839600627,709112.3746691687,755363.8442557076,703858.4679846913,705523.5831642217
