[kWh],Annual,January,February,March,April,May,June,July,August,September,October,November,December
1045,63963.083992401254,15212.830887460135,12317.398786451442,11535.024943276101,4971.23849769441,659.7486798615064,0.0,0.0,0.0,19.40007186101868,1129.243976364407,7815.4992318608065,10302.698917571426
1058x1060,7975223.493043372,1233578.3504906888,1002571.0418851268,1066906.9136044162,644263.5886783141,407772.525293496,234468.05320528866,217193.18392962543,257993.14008619805,344656.52103575994,543050.2414612288,976295.8897959111,1046474.0435773189
1065,393873.8249122105,60666.86716437944,50616.9601792657,46315.53814583332,32396.151669244715,22817.077764231384,14236.555785192999,13940.564016386188,16480.41336673562,17826.607291548826,27151.39836501529,42927.106213633546,48498.58495074355
1345,154581.5464025237,35573.18845610763,27936.82178819053,25967.909036904093,10832.780087991649,2326.7192971453123,54.79482067276216,0.0,0.0,440.7879068338891,5225.988443036662,20670.586322316012,25551.97024332516
1349,84473.19848617085,20210.366924354264,16238.293801049313,14141.834821938828,5963.869880913514,670.3373219227101,0.0183707477590323,0.0,0.0439134713619773,98.4918176910574,1830.7549660008287,11781.940467600703,13537.24620048052
1359,207679.85600178427,50200.31315000958,41506.927026794314,30757.402981968517,12961.478960172233,3252.133411217939,403.5400997760351,180.21577223925618,238.56184600465048,1173.9340138423313,6477.412036301537,26503.368518130257,34024.568185327575
1380,493549.2228787665,122649.29590143083,92997.69435592071,71978.8585603999,25790.232003328114,6606.078094786208,393.2854752527884,0.0,163.67726284545017,1947.0411533283198,16366.493828920367,67753.13080287984,86903.43543967398
1500,926167.155804565,215359.08233156768,177570.66053229908,127534.61269412586,51493.82691242041,16033.896513055437,786.0884903647034,457.0810093190729,3080.107166641951,11278.584161854931,34288.0331443709,131349.85912719928,156935.32372134572
1560,101379.61417461524,28492.672678628263,22308.262861569066,11642.169653255933,1909.694862347464,19.56942501220641,0.0,0.0,0.0,3.775018448821884,1415.6860793015062,15016.620206896434,20571.163389155554
1569,54906.15316126938,15261.145224905647,11267.132264718173,9266.729667170945,2186.7814440313446,204.3904327545571,0.0,0.0,0.0,0.0,827.6537875621823,6615.6031695046695,9276.717170621856
1631,125427.2639407299,31768.19838303916,25673.201468373827,17956.030289390066,5875.70145886367,1147.6829756704146,29.613786296115464,0.0,5.638829597361422,262.7852376102753,2985.8948037918703,16857.65731021745,22864.85939787969
1657,128467.09217947847,32756.58299626452,26399.48333214151,18287.039843180617,5905.61311748749,1136.2091023380622,29.146343909485594,0.0,6.299033275871872,255.83170092569418,2957.0828670905257,17276.435350345913,23457.368492518777
1676,83736.78611265299,23349.45025148426,19028.176752315703,12466.684669043669,3910.3396019274696,321.22538276543,0.0,0.0,0.0,11.591396254903811,687.2105762304147,9882.98511609423,14079.122366536914
1690,108268.4894769268,28412.242036937503,22670.616193581627,14118.582631936184,4123.159814597399,811.352963513828,26.47968349500109,0.0,8.923679644633783,258.13549348180703,2408.719249345426,14958.797348293243,20471.480382100162
1691,113928.92928142792,29577.794339157048,23508.585755516622,14921.373437271955,4506.792094599228,948.9027546245145,43.53607809991495,0.22763824014358122,31.617478668824447,347.1005996907514,2795.35971100851,15835.528883616216,21412.110510934188
1692,109303.78717514392,26860.95563681113,21519.61139117305,15784.543924402913,5569.552052405791,1339.0421306909266,70.71977250653694,0.0,57.337393607886185,484.6626083556898,3354.8366719116616,14805.559257703811,19456.966335574543
1800,151640.4125631788,40048.69535341729,32527.78587467931,21500.92713949185,6027.8547517278,1025.860057720341,22.26775526927074,0.0,6.275062852014951,277.82151276236453,3133.5281373371918,19623.794596271196,27445.602321650156
all,11276569.90958722,2009978.0322066431,1626658.6542491666,1531082.1760440068,828688.6558880669,467092.7516008068,250564.09966687206,231771.27236581012,278072.03511954367,379343.0710202506,656085.5381048181,1415970.361718475,1601263.2616027587
