[kW],Annual,January,February,March,April,May,June,July,August,September,October,November,December
1045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1058x1060,554.1475120320315,530.5670162613396,552.286510936532,554.1475120320315,543.5969546402231,502.0218970957246,460.4439088408396,424.45185458283976,401.49266941411,399.6316683186104,418.2475406943791,452.9969737484548,493.33234079941576
1065,34.82973451866892,33.3476742761585,34.712799174243045,34.82973451866892,34.16680782921696,32.80930277813761,31.18100008733517,33.11233823211344,34.15303349039987,34.21164769813214,33.60352529290985,30.756926294392205,33.05899930307707
1345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1380,71.44016866824417,68.40014278421003,71.20014348758053,71.44016866824417,70.08002597781687,64.72004975173952,59.36007352566218,54.72017284157577,51.760155351096174,51.52013017043254,53.92008890603029,58.399972803007614,63.600225313014526
1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1631,43.69571958025194,41.836476910984366,43.5488909898826,43.69571958025194,42.86398397253104,39.58569133406523,36.30710562456076,33.469005686164294,31.658705880353164,31.51187728998383,32.97987012263851,35.720084334122085,38.900491245675006
1657,43.69571958025194,41.836476910984366,43.5488909898826,43.69571958025194,42.86398397253104,39.58569133406523,36.30710562456076,33.469005686164294,31.658705880353164,31.51187728998383,32.97987012263851,35.720084334122085,38.900491245675006
1676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1690,34.536663480007576,33.06691222112093,34.42060734869768,34.536663480007576,33.87901206925152,31.28797101644656,28.69666619970681,26.45355908400061,25.02258112352886,24.90655429932283,26.06679323427923,28.232588209986574,30.746375737000395
1691,35.42115187468752,33.91359445181355,35.302165032991006,35.42115187468752,34.74679541472776,32.089227236146684,29.4316590575656,27.13099278986631,25.66338094956189,25.544394107865383,26.73435044614204,28.955594462364115,31.53385761788343
1692,24.716995951516672,23.66522260796884,24.633968926263915,24.716995951516672,24.24647039894588,22.39200478760849,20.537539176271093,18.93218394779585,17.90807651029764,17.82504948504488,18.65540765888407,20.20540176815619,22.00450626029046
1800,55.18791421927927,52.83953598648591,55.00240025180664,55.18791421927927,54.137254545678346,49.99674691147087,45.85594620622472,42.27168740339646,39.98485408872198,39.79963319228801,41.65360058285968,45.11447647841151,49.13130813430391
all,843.1662281347026,807.2858925566404,840.3327294116131,843.1662281347026,827.1134085275467,763.8532335406909,700.5920914194077,645.8286905996293,610.8928643649649,608.0625601161969,636.3872898607385,689.2619064505524,750.6333265145472
