building,Annual,January,February,March,April,May,June,July,August,September,October,November,December
1045,83.9771615600992,69.81127983536442,76.3409025767392,56.51816366376312,49.39331364286715,37.78857972499386,0.0,0.0,0.0,5.256697992053086,45.88085724451093,66.70238225724486,83.9771615600992
1058x1060,2174.5871068671822,2127.6957406813667,2174.5871068671822,2080.804374495552,2001.6751940569884,1679.2970515295085,958.3422964225992,457.1908203116986,518.7357384305811,1043.3328976343892,1981.1602213506944,2074.9429537223245,2083.735084882165
1065,208.1542913512978,202.87285816358167,208.1542913512978,184.4000044546798,170.8445897034766,157.13414037282155,127.7801451405012,114.20626691386232,132.6597779342126,135.96591232135123,180.56135999029348,190.9020785184204,199.4111030549139
1345,135.0875784184832,135.0875784184832,130.23637351552193,107.83343717817137,77.58791984624321,48.647154778435365,19.869513050746427,0.0,0.0,25.11149887665871,70.42995279797852,108.32608959416108,126.76787777296492
1349,163.21096835946454,162.32735917790058,163.21096835946454,156.69365460171355,141.68900356432997,39.01889194529419,0.1030897893463988,0.0,0.0183196947840974,17.98796767543672,110.27589121437502,156.6977575962548,161.02114155858695
1359,328.2395633007067,328.2395633007067,328.2395633007067,328.2395633007067,325.3088529140933,307.7245905944126,130.74514483863803,32.585689575639,47.982762733790096,205.8158775338189,325.3088529140933,328.2395633007067,328.2395633007067
1380,506.09558453311735,425.0497195017089,506.09558453311735,355.89374650879125,256.8527335614989,162.86455839176682,74.98603516500779,0.0,25.539499821519737,110.72575525872018,242.2322986558004,347.0371397204454,354.5983725179081
1500,2030.9822979231228,1567.9300568381973,2030.9822979231228,1160.5613130989273,864.5595640509686,592.0034980959175,4.791770096320728,2.438192783301516,65.02748127129527,419.0915852857238,867.4902744375821,1245.5519143107174,1444.8402206004323
1560,296.52634620716253,275.5758699374176,296.52634620716253,247.62070277262788,153.61640869576942,13.76059378537001,0.0,0.0,0.0987341675698139,1.8079317918187463,225.0583357902456,261.15413719593147,269.883844224537
1569,68.88898527669717,55.50355172791754,68.88898527669717,43.90028316523755,27.752625769970887,6.967500180238689,0.0,0.0,0.0,0.0,23.331297466518095,43.176104628705374,48.02936102893725
1631,197.68667306343056,164.82637592456587,197.68667306343056,126.74238059260136,94.0283259020287,45.90899206422242,14.901695181501823,0.0,6.284586045950023,36.68751183274319,82.82685773335342,128.62829272638712,130.1077153295496
1657,201.04468102441223,167.22926537055025,201.04468102441223,128.06676861631198,94.9828582749487,46.15546480773661,14.818550927833602,0.0,6.44299094234648,37.22734868595739,84.42556024925106,130.63817390952664,131.71755454491637
1676,126.20254373938717,106.71595730775566,126.20254373938717,87.64494560894595,65.02542977402464,39.61148158546743,0.0,0.0,0.0,2.667172116518012,62.6398315193213,85.06621353976476,96.00157320533552
1690,168.2910617436203,140.15155289551257,168.2910617436203,104.51733837571824,76.62781912358865,35.71598133958083,10.148170855726404,0.0,4.62457306876443,29.38183698099317,70.47801644831898,110.423892088899,110.60911298533296
1691,173.39020474528903,144.44680203813323,173.39020474528903,108.29590327717898,79.6942214011023,37.58782606351084,11.358349095670697,0.2680711998504165,5.504548169448985,30.72351619598481,73.22555743576909,114.27425939483176,114.3618876353915
1692,152.30813957918517,127.75523410221498,152.30813957918517,100.00287209617888,75.59269221503678,39.13758571595204,15.187527365508236,0.1488232318584631,8.84602692385018,31.18510308187643,66.73432700045895,100.64000853422866,101.91809133383076
1800,201.49102821629347,168.60288932875596,201.49102821629347,129.13384026807796,90.36435177668456,43.246441677984095,10.139466645878162,0.0,2.6541392474287413,25.28218344957508,74.52825820261877,129.68803760218654,129.85538116526217
5300,668.4041871645436,668.4041871645436,666.8743563427314,663.8527939341329,635.6066072279524,562.1512820978728,50.47152199410224,0.6656405272699671,0.1747682247690746,374.21654784589856,334.795562435561,423.0187372037858,480.8680295251488
5301,848.4142805311151,842.5821668617543,848.4142805311151,785.9080894054234,512.3057598423512,352.53808311611886,15.17322549882156,0.4338271971096162,16.262775699252845,129.13208184184597,425.3281369884372,581.2448602666595,617.1343396611278
west,7093.178712960949,5819.2041831787765,7093.178712960949,5047.504470798695,4200.627934007437,2330.652475776214,1191.517653720156,480.9594111265006,588.9091368413156,1430.2871334194183,4200.243336883401,5008.946579597215,5434.239254989974
