building,Annual,January,February,March,April,May,June,July,August,September,October,November,December
1045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1058x1060,568.5578150030099,545.1121319101022,565.6271046163964,568.5578150030099,559.7656838431695,518.7357384305811,480.6365034046063,445.4679787652448,424.9530060589507,424.9530060589507,442.5372683786314,474.77508263137935,509.9436072707408
1065,35.68784651986934,34.322721621784794,35.609889623585424,35.68784651986934,35.1028767267013,32.645769138564575,32.525903083752084,31.276248174900108,33.01093565273661,33.16333259284051,31.733732066250468,32.105639214311715,32.54759034061303
1345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1380,73.20006025540555,70.40005955203506,73.04004346829646,73.20006025540555,72.000227423126,66.95999170022819,61.92004904836903,57.6001819385008,54.88018962868486,54.64016444802122,56.88010639650988,61.12025818386222,65.92017565505773
1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1631,44.77216950525506,43.059755426356816,44.67428377834217,44.77216950525506,44.03831962444705,40.95550536876836,37.87298418412833,35.23065569955764,33.56689141307718,33.42006282270785,34.79016992844964,37.38355554956388,40.31954121487324
1657,44.77216950525506,43.059755426356816,44.67428377834217,44.77216950525506,44.03831962444705,40.95550536876836,37.87298418412833,35.23065569955764,33.56689141307718,33.42006282270785,34.79016992844964,37.38355554956388,40.31954121487324
1676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1690,35.38744870524146,34.033753577664704,35.31007795103486,35.38744870524146,34.807168048692,32.37086850430023,29.93427588886981,27.8458223602652,26.530871223999476,26.414844399793445,27.49774188764712,29.54742211783683,31.86795860195737
1691,36.29362435678234,34.905346846643546,36.21420210530511,36.29362435678234,35.69869014829981,33.19967340163452,30.700949726007888,28.558922811535982,27.210297812928065,27.09131097123156,28.2019329793426,30.304131539660425,32.68416144462921
1692,25.325938955647217,24.35719263735214,25.27057783644409,25.325938955647217,24.910745215175687,23.167001842244552,21.42325846931341,19.92859617214055,18.987515759895103,18.904488734642342,19.67948578927841,21.14648218040164,22.80719852808001
1800,56.54747076762925,54.38460650230852,56.423794789314165,56.54747076762925,55.620487072343415,51.72703832372744,47.83358957511148,44.49638965787474,42.395070310672885,42.20984941423892,43.9401408264955,47.21550275457469,50.9237306067567
5300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
west,864.8610462284396,830.8825365415623,861.1607606014053,864.8610462284396,850.2990203807461,790.8950155063887,731.4915967741085,678.4808486868366,647.8169724472194,643.7322948458768,672.0876212068548,721.7832083189973,777.10259420622
