[kWh],Annual,January,February,March,April,May,June,July,August,September,October,November,December
1045,38688.175945923496,3144.5984880000005,2844.1612096,3264.8383216,3125.014002,3295.6818467156454,3403.187964785192,3588.1140564441293,3689.034539216885,3011.0505115238184,3294.1649520378273,3003.9713996,3024.3586544
1058x1060,4477476.350067976,378653.01027611556,342137.9172493947,382644.15727611555,369264.2119672086,382644.15727611555,369165.84014054167,382532.1397002738,386818.18209556304,361281.9179672086,382644.1572761155,365028.79556720855,374661.86327611556
1065,165699.73353044275,12530.398697770252,11844.092059214683,13097.669518672505,13613.863402075986,15086.25347670754,14853.4853254825,15480.321661604377,16045.041977257568,13724.9183054143,14616.423200908053,12356.097276861303,12451.168628473666
1345,5922.397235788029,356.1574716,329.07146255556756,360.80567699999995,364.98578339999995,451.67464433416075,730.7783142602567,990.5255219394608,691.5166282028521,514.8057012951913,420.06804700053954,345.2209896,366.78699459999996
1349,36308.9040407296,2831.598627567512,2558.2580209999996,2954.583386,2841.837742837557,3195.763070320727,3356.837623348193,3460.3890613357194,3633.4420256119656,2874.732235968421,3158.078744645614,2702.7379561350226,2740.645545958869
1359,326667.70229202515,25968.15996671896,23843.27456560525,27453.132262156207,27248.050333970852,28910.978323736286,28370.12737469733,29410.689891790986,30293.81854763357,25595.368709911298,28759.6895642045,25443.494509240096,25370.91824235981
1380,565817.6513378723,45078.205728900335,40395.36181485206,45557.49489132846,45933.791108333724,49759.33285874047,49656.731508910176,51751.507887371845,51005.96129273517,48558.663550049256,48708.91681885839,44036.672783760776,45375.011094031506
1500,1895379.9502687575,153871.61981836925,140992.04218501525,163945.15507087688,157278.36499344654,164804.0129234047,162071.0074479745,171026.46988727554,174233.90502854678,143665.59668450948,164495.41209791502,149626.92716680057,149369.43696462305
1560,90104.75710010546,6815.635927619126,6086.924496503677,7316.403597655908,7412.203452225793,8303.301643659608,8307.6393999311,8510.756139770132,8946.925523608305,7259.436732299356,8029.369238579494,6512.711359820597,6603.449588432368
1569,190146.93299303943,15538.68513668401,14212.17583616317,15948.077637725686,15577.512313801948,16210.593364391954,16193.476630873969,17087.990884795923,16689.167905727547,15770.744677962433,16094.943449218443,15027.426059670115,15796.139096024239
1631,141103.10505797257,11166.053597206766,9956.00066961412,11268.642856572984,11573.223832008727,12493.500083266003,12293.69070693517,12769.970323190275,12636.825592286134,12135.041680480328,12382.071014155432,11119.018416317433,11309.066285939201
1657,140205.72599302678,10993.386952477449,9818.63470526869,11170.62353268193,11547.829746861718,12487.962342317438,12274.0860594843,12764.804293148478,12623.292584670211,12120.586009915685,12288.764107960176,10939.562283048082,11176.193375192634
1676,13979.398753578495,1055.7794437,970.8187725,1118.5509171,1069.3068689000002,1154.3878227313112,1291.8222869923848,1509.6031737127519,1360.6710959751522,1178.619685916698,1145.007919150198,1006.2798498,1118.5509171
1690,145606.82459598267,11396.307024578175,10136.123685100049,11609.308528434383,11940.112539655089,12995.186463990025,12861.398363951073,13318.185369607807,13209.822692199872,12646.306200797044,12803.191015303148,11195.0456054741,11495.8371068919
1691,150175.5794732523,11686.537533236624,10401.619667059533,11950.51370846613,12318.052185037091,13434.489229019662,13341.030954699767,13769.577915264377,13675.177719859814,13078.540776253181,13210.353879091015,11501.921436701246,11807.764468563844
1692,104954.85221496141,8299.94708615461,7324.952251232302,8337.290632602095,8474.665510034243,9263.13217811134,9252.99161103749,9661.145924477645,9513.09759957592,9059.881093592923,9210.300749428821,8175.275796804495,8382.17178190953
1800,268429.5152386096,21423.413978528548,19125.895868805324,21614.774052564517,21932.488424118863,23680.51174808381,23234.27134510239,24132.724800003325,23934.47933002277,23002.017971680176,23528.012075352653,21202.41548393903,21618.510160408143
all,8756667.556140045,720809.495755227,652977.3245194843,739612.0218675532,721515.5142059168,758170.9192956463,740658.4030590074,771764.9164920065,779000.3621786935,705478.2284947782,754788.9241499249,699223.5739407814,712667.8721810242
