[kW],Annual,January,February,March,April,May,June,July,August,September,October,November,December
1045,25.415996653273865,13.1328,13.1328,13.1328,13.706906804236697,13.706906804236697,16.34901949555189,22.51208091416801,25.415996653273865,14.319494084943551,13.706906804236697,13.1328,13.1328
1058x1060,1879.051158752502,619.703520966116,619.703520966116,619.703520966116,619.703520966116,619.703520966116,902.9635670040884,1263.6133831141285,1879.051158752502,625.7276256442425,619.703520966116,619.703520966116,619.703520966116
1065,115.83996804905416,47.47290630277337,47.47290630277337,47.47290630277337,47.47290630277337,47.47290630277337,67.77378409089906,88.55184026434225,115.83996804905416,50.27830751148535,47.47290630277337,47.47290630277337,47.47290630277337
1345,29.816088021819684,3.01,3.01,3.01,3.01,4.376059895412433,5.602401172418107,29.816088021819684,28.612378383404018,6.559786308326977,3.01,3.01,3.01
1349,50.96235608774978,9.74313,9.74313,9.74313,11.74604057047159,11.74604057047159,17.266040298163055,50.96235608774978,48.117816095266576,17.092341952233184,11.74604057047159,11.67835057047159,9.74313
1359,193.94238478115813,92.15033513384572,92.15033513384572,92.15033513384572,92.15033513384572,92.15033513384572,115.25978536910787,148.2480149977744,193.94238478115813,98.21654823542978,92.15033513384572,92.15033513384572,92.15033513384572
1380,336.0025999994723,137.51316003197553,137.51316003197553,137.51316003197553,137.51316003197553,137.51316003197553,188.6161003001549,276.4188079578668,336.0025999994723,137.51316003197553,137.51316003197553,137.51316003197553,137.51316003197553
1500,1226.3869062612775,490.3088980505233,490.3088980505233,490.3088980505233,490.3088980505233,540.2578038380944,738.6614565971927,1073.5575664820412,1226.3869062612775,553.2601999906883,490.3088980505233,490.3088980505233,490.3088980505233
1560,109.40934033513275,24.72871687955016,24.76016687955016,24.76016687955016,24.76086687955016,77.05900808787578,66.07360439257785,109.40934033513275,96.25839009256774,51.46375889596392,24.76086687955016,24.76016687955016,20.45635
1569,52.50888913591376,23.98353,23.98353,25.3071066639064,25.3071066639064,25.3071066639064,34.66881046288398,48.04089784600261,52.50888913591376,26.725190191480856,25.3071066639064,25.3071066639064,24.7584766639064
1631,99.16488786454164,36.65468767691473,36.65468767691473,36.65468767691473,36.65468767691473,36.65468767691473,44.37770214713349,71.25254383795564,99.16488786454164,36.65468767691473,36.65468767691473,36.65468767691473,36.65468767691473
1657,98.3658302186601,36.61761140214583,36.61761140214583,36.61761140214583,36.61761140214583,36.61761140214583,45.09507128417235,69.50478107386235,98.3658302186601,36.61761140214583,36.61761140214583,36.61761140214583,36.61761140214583
1676,38.57432921036924,6.5711770000000005,6.5711770000000005,6.5711770000000005,6.5711770000000005,8.255393816161133,8.255393816161133,22.5636657080264,38.57432921036924,8.255393816161133,8.255393816161133,6.5711770000000005,6.5711770000000005
1690,99.12447001593284,37.47047412873928,37.47047412873928,37.47047412873928,37.47047412873928,37.47047412873928,44.53799448524602,74.00194963425074,99.12447001593284,37.47047412873928,37.47047412873928,37.47047412873928,37.47047412873928
1691,105.55963937512314,38.606503619005714,38.606503619005714,38.606503619005714,38.606503619005714,38.606503619005714,47.07131625144798,79.28862408173016,105.55963937512314,38.606503619005714,38.606503619005714,38.606503619005714,38.606503619005714
1692,73.81542338564208,26.94327046109379,26.94327046109379,26.94327046109379,26.94327046109379,26.94327046109379,36.45458757957822,50.75687005642473,73.81542338564208,26.94327046109379,26.94327046109379,26.94327046109379,26.94327046109379
1800,154.81480287979235,70.69820554162236,70.69820554162236,70.69820554162236,70.69820554162236,70.69820554162236,75.63405701069573,119.51609135465483,154.81480287979235,70.69820554162236,70.69820554162236,70.69820554162236,70.69820554162236
all,3596.2985184021304,1464.2305811504848,1464.2305811504848,1475.6681173112,1508.3538044286838,1521.8424809118092,2046.6398429120993,2845.279608395195,3596.2985184021304,1540.7487199068385,1508.3538044286838,1493.7262719786618,1464.2305811504848
